vendor,total_paid,share_of_total,concentration_flag
Village Media Inc. ,112399,5.43E-07,none
Deborah Herriot-Howes,112367,5.43E-07,none
Paul J. B. Nielsen,112322,5.43E-07,none
Commvault Systems Canada Inc. ,112297,5.42E-07,none
Carolyn Shedletzky Medicine Professional Corporation,112238,5.42E-07,none
Ultimately Digital Inc.,111870,5.40E-07,none
1788296 Ontario Inc.,111775,5.40E-07,none
Dr. Treena D. Wilkie,111655,5.39E-07,none
Thunder Bay Aviation Ltd.,111644,5.39E-07,none
Black Creek Metal Inc,111426,5.38E-07,none
S&P Global Market Intelligence Llc,111364,5.38E-07,none
Mieske Forestry Inc,111335,5.38E-07,none
M'Cwabeni Medicine Professional Corporation,111250,5.37E-07,none
Jaswinder Vasrah,111128,5.37E-07,none
1000479251 Ontario Inc. (O/A Hd Contracting Enterprises),111038,5.36E-07,none
John Livey,111000,5.36E-07,none
Samuel M. Equbatsion,110695,5.35E-07,none
Eline R. Anders,110632,5.34E-07,none
Best Buy Canada Ltd.,110455,5.34E-07,none
Redline Packaging Ltd,110432,5.33E-07,none
Jailbird Design,110427,5.33E-07,none
The Friends Of Algonquin Park,110417,5.33E-07,none
Alfredo Suarez,110398,5.33E-07,none
Asbex Ltd. ,110263,5.33E-07,none
Grace Vaccarelli Professional Corporation,110175,5.32E-07,none
2690928 Ontario Inc.,110085,5.32E-07,none
Brigholme Inc. (O/A Brigholme Interiors Group),110034,5.32E-07,none
Cloud Synapps Inc.,110009,5.31E-07,none
Lp Analyst Lp,110000,5.31E-07,none
Brigitta Gothar,109929,5.31E-07,none
"Northerntel,Limited Partnership/ Northerntel,Societe En Commandite",109695,5.30E-07,none
Martha L. Chamberlain,109695,5.30E-07,none
Rocket Software Canada Inc./Logiciel Rocket Canada Inc.,109671,5.30E-07,none
"Canada North Environmental Services Inc, Kitsaki Development Corporation,Integrated Environmental Sciences Inc",109650,5.30E-07,none
Agro Zaffiro Llp,109592,5.29E-07,none
Ravinder S. Dheensa,109581,5.29E-07,none
Tracey Cook,109325,5.28E-07,none
D&Jp Pietrangelo Law,109108,5.27E-07,none
Cerilliant Corporation,108906,5.26E-07,none
Hon. Doug Ford,108869,5.26E-07,none
Mann Mccracken & Associates,108843,5.26E-07,none
Clarkway Construction Ltd,108706,5.25E-07,none
North West Company Lp,108700,5.25E-07,none
Lance C. Talbot,108586,5.25E-07,none
Caisar C. W. Warda,108577,5.24E-07,none
Puc Services Inc.,108553,5.24E-07,none
Strathcona Solutions Inc. ,108480,5.24E-07,none
Digital Fire & Security Services Inc ,108370,5.23E-07,none
Eshkaa Niibiish Day Inc,108358,5.23E-07,none
Paramount Landscaping Inc,108334,5.23E-07,none
Historice Consultants Inc.,108318,5.23E-07,none
P D Moran Medicine Professional Corporation,108204,5.23E-07,none
Ann Logan & Stefanie Rudd (O/A Third Street Law),108189,5.23E-07,none
Traduction Documens,108171,5.23E-07,none
Gholamreza Rezvani-Ghadimi,108155,5.22E-07,none
Glen Martin Ltd,108115,5.22E-07,none
Cheetah,108024,5.22E-07,none
"D. Christopher Climo, Cpa, Ca............................................................. ",107998,5.22E-07,none
Bernardi Human Resource Law Llp,107976,5.22E-07,none
Sandstone Treasures Inc,107975,5.22E-07,none
Metaligna Modular Inc,107929,5.21E-07,none
Computacenter Teramach Inc. ,107668,5.20E-07,none
Thomas A. Hewitt,107576,5.20E-07,none
Dr David Janhunen,107485,5.19E-07,none
Township Of Manitouwadge,107349,5.19E-07,none
Agc And Associates Inc,107236,5.18E-07,none
1922167 Ontario Inc. (O/A Diamond Cnc),107153,5.18E-07,none
Robert Gillezeau,107011,5.17E-07,none
John N. Davis,106870,5.16E-07,none
1552431 Ontario Inc (O/A Ecowater North),106867,5.16E-07,none
Drain Bros Excavating Ltd.,106853,5.16E-07,none
Ontario Aggregate Resources Corporation (Oarc),106835,5.16E-07,none
Yasser Metwally El Gohary Medicine Professional Corporation,106800,5.16E-07,none
Traductions A La Page,106785,5.16E-07,none
Iconix Waterworks Limited Partnership,106706,5.15E-07,none
Michael Scott Architect Inc. ,106571,5.15E-07,none
Andre Rajna,106559,5.15E-07,none
Sophia Reyes,106474,5.14E-07,none
Nicholas R. White,106333,5.14E-07,none
Charlene Kloos,106283,5.13E-07,none
Hillwy Juma,106239,5.13E-07,none
Aashto (American Association Of State Highway & Transport Officials),106237,5.13E-07,none
Waterford Property Group Ltd,106026,5.12E-07,none
Metro Aviation Inc,105652,5.10E-07,none
Alexandra R. Panke,105646,5.10E-07,none
Joseph D Carrier,105565,5.10E-07,none
Powerland,105523,5.10E-07,none
Marantz & Son Ltd,105327,5.09E-07,none
Integrated Insurance Resources Inc,105311,5.09E-07,none
Sandra Lee Watson,105151,5.08E-07,none
Hunter Aerospace,105071,5.08E-07,none
Lynch Fluid Controls Inc,105000,5.07E-07,none
Janet L. Smith,104956,5.07E-07,none
Marinas Enterprises Ltd,104935,5.07E-07,none
Leroy Construction (408761 Ontario Ltd O/A),104891,5.07E-07,none
Expo Canada France Inc.,104885,5.07E-07,none
Rps Real Property Solutions Inc,104853,5.06E-07,none
Mehran Farahi,104748,5.06E-07,none
Acquia Inc. ,104724,5.06E-07,none
Thiruchelvan Sivasamy,104644,5.05E-07,none
Chemise Empire Ltd,104615,5.05E-07,none
Dr. K E Turner,104519,5.05E-07,none
Anne C. Francisco,104439,5.04E-07,none
Arcadis Canada Inc,104395,5.04E-07,none
Sonepar Canada Inc,104367,5.04E-07,none
Unilogik Systems Inc,104288,5.04E-07,none
John C. Thompson,104077,5.03E-07,none
Brinc Drones,103930,5.02E-07,none
Dr Ryan Carlini Medicine Professional Corporation,103920,5.02E-07,none
Laurel J. Mcpherson,103904,5.02E-07,none
Samuel Charles Peter Bryson Medical Professional Corporation,103858,5.02E-07,none
Rajesh Macwan,103844,5.02E-07,none
Hilton Toronto/Markham Suites Conference Centre & Spa,103747,5.01E-07,none
Opti-Tech Scientific Inc,103738,5.01E-07,none
Paul Kursell Medicine Professional Corporation,103675,5.01E-07,none
Katherine Moran-Mcalpine,103599,5.00E-07,none
Future Transfer Co. Inc.,103546,5.00E-07,none
Espey D Robert Excavating & Septic Services Ltd,103452,5.00E-07,none
Victoria Nix,103395,4.99E-07,none
J Provost Contracting Ltd,103360,4.99E-07,none
Henderson Family Law,103204,4.99E-07,none
Frank Poce Medicine Professional Corporation,103161,4.98E-07,none
Withsecure Inc.,103113,4.98E-07,none
Nichevision Forensics Llc,103031,4.98E-07,none
Precisely Software Incorporated,102815,4.97E-07,none
Eckler Partners Ltd.,102795,4.97E-07,none
Mark'S Work Warehouse,102794,4.97E-07,none
Elizabeth Jane Rubenstein,102771,4.96E-07,none
Oxford Economics Usa Inc,102744,4.96E-07,none
Nms Labs,102743,4.96E-07,none
Remsoft Inc.,102559,4.95E-07,none
Campbell Scientific Canada,102541,4.95E-07,none
William Acres,102463,4.95E-07,none
Lois Robinson,102440,4.95E-07,none
Region Of Waterloo,102435,4.95E-07,none
Sarah J Keating Medicine Professional Corporation,102300,4.94E-07,none
Natalie T. Cooper,102244,4.94E-07,none
Smartsimple Software Inc,102039,4.93E-07,none
Qamar Faiz,101940,4.92E-07,none
Shaw Communications,101919,4.92E-07,none
Majd Jibrini,101817,4.92E-07,none
Kontent Us Llc,101774,4.92E-07,none
Qatalyst Research Group Inc.,101700,4.91E-07,none
Digital Governance Council,101700,4.91E-07,none
Catherine D. Purvis,101687,4.91E-07,none
Snapstream ,101600,4.91E-07,none
The Financial Times Limited,101600,4.91E-07,none
Tsewang Norbu,101501,4.90E-07,none
Fluid Management Systems Inc,101285,4.89E-07,none
Sara Zoghbi (O/A Lectures),101233,4.89E-07,none
1105729 Ontario Inc (O/A Classic Towing),101140,4.89E-07,none
Walco Inc,101138,4.89E-07,none
Next Generation Manufacturing Canada,101135,4.89E-07,none
11776746 Canada Inc.,101090,4.88E-07,none
Shore Consulting Group Inc.,101079,4.88E-07,none
Workers Health & Safety Centre,101017,4.88E-07,none
Sysco Corporation,100891,4.87E-07,none
Bayshore Healthcare Ltd,100841,4.87E-07,none
Iron Mountain Canada Operations Ulc (O/A Iron Mountain Canada),100736,4.87E-07,none
Waters Limited,100721,4.87E-07,none
Motorola Solutions Canada Ltd. ,100680,4.86E-07,none
Falconers Llp ,100627,4.86E-07,none
Execulink Telecom Inc.,100612,4.86E-07,none
J.D. Barnes Ltd.,100553,4.86E-07,none
Mediation Centre Inc.,100548,4.86E-07,none
A-Aaron Protection Services Inc.,100465,4.85E-07,none
Lowell Hunking (O/A Lowell Hunking Law Practice),100457,4.85E-07,none
Blackline Consulting,100317,4.85E-07,none
Swan And Saenz Llp,100317,4.85E-07,none
Suzi Yakop,100231,4.84E-07,none
Purolator Courier Ltd,100168,4.84E-07,none
Allan T Hirsch,100128,4.84E-07,none
Zayo Canada Inc,100030,4.83E-07,none
Vasiliki Spiliotopoulos,99999,4.83E-07,none
Mustang Survival Ulc,99968,4.83E-07,none
Nicole Beaudoin,99857,4.82E-07,none
Varkala Krishnamurthy,99829,4.82E-07,none
Kingsville Non-Profit Port Management Corp,99714,4.82E-07,none
Dov Hacham,99658,4.81E-07,none
Peter Weltman,99634,4.81E-07,none
Globalindustrialcanda,99632,4.81E-07,none
Starcom...................................................................................... ,99591,4.81E-07,none
Ebd Group Gmbh,99503,4.81E-07,none
Anne Y. Z. Cheng,99418,4.80E-07,none
Chinh Hoang,99404,4.80E-07,none
Michael Robb,99327,4.80E-07,none
Dryden Community Funeral Home Ltd,99321,4.80E-07,none
Joe Wright Barrister & Solicitor,99310,4.80E-07,none
Cloud Synapps Inc,99158,4.79E-07,none
Foster Townsend Graham & Associates,99103,4.79E-07,none
Tone Software Corporation,99103,4.79E-07,none
Island Funeral Home Ltd,98996,4.78E-07,none
Ambe Arts And Crafts Lp,98943,4.78E-07,none
Cintas Canada Ltd.,98919,4.78E-07,none
Foodland,98826,4.77E-07,none
Cgi Information Systems & Mgt. Consultants Inc.,98717,4.77E-07,none
Quadient Canada Ltd/Quadient Canada Ltee,98650,4.77E-07,none
2232260 Ontario Inc.,98577,4.76E-07,none
Jonathon Deluca,98569,4.76E-07,none
Erik E Grinbergs,98431,4.75E-07,none
Sandy M. Di Martino,98423,4.75E-07,none
Abraha Tekie,98407,4.75E-07,none
2845881 Ontario Inc,98200,4.74E-07,none
Acklands Grainger Inc,98170,4.74E-07,none
Rivington Commercial Appraisers Inc,98102,4.74E-07,none
Dr B Jay Thrush Veterinary Medicine Professional Corporation,98079,4.74E-07,none
Todd Perreault,98079,4.74E-07,none
Dr V Lao Medicine Professional Corporation,97835,4.73E-07,none
Cabela'S Retail Canada Inc.,97558,4.71E-07,none
Pgi Inc,97475,4.71E-07,none
Phil Mauer & Associates Inc,97138,4.69E-07,none
Christine A. Ready,97079,4.69E-07,none
Grace Pang,97064,4.69E-07,none
Stephen B. Collinson,97010,4.69E-07,none
Barbara N Morrison,96983,4.68E-07,none
Lynn F. Carriere,96939,4.68E-07,none
Gottlieb Family Law Professional Corp.,96890,4.68E-07,none
Eric Vallillee (O/A Vallillee Family Lawyers),96872,4.68E-07,none
Doosan Bobcat,96789,4.68E-07,none
Alexander & Houle Funeral Home Ltd,96782,4.68E-07,none
Diamond Plus Specialized,96739,4.67E-07,none
David Elhadad,96728,4.67E-07,none
Valley Fire Protection & Services Ltd,96714,4.67E-07,none
1000012293 Ontario Inc,96615,4.67E-07,none
Ivey Business School Foundation,96472,4.66E-07,none
Cs Enterprises Lp,96429,4.66E-07,none
2728018 Ontario Inc.,96308,4.65E-07,none
Suhas And Sangeeta Joshi Medicine Professional Corporation,96300,4.65E-07,none
Northern Precision Mfg Inc,96293,4.65E-07,none
Marandola Contracting Inc,96187,4.65E-07,none
Jacobs Consultancy Canada Inc,96166,4.65E-07,none
Consulting Matrix Inc,96126,4.64E-07,none
Vgr Investments Ltd. ,96089,4.64E-07,none
Tom Dellandrea,96050,4.64E-07,none
Jr Corner Store,95982,4.64E-07,none
Alla Saket Volodina,95945,4.63E-07,none
Leigh Fishleigh,95937,4.63E-07,none
Elena Bozovic,95809,4.63E-07,none
Global Experience Specialists Inc,95673,4.62E-07,none
Portage Cybertech Inc,95623,4.62E-07,none
Nicolle Kopping-Pavars,95577,4.62E-07,none
Impact Auto Auctions Ltd. (O/A Nor Ontario Auctions),95552,4.62E-07,none
"Sport, Physical Activity & Recreation Council (Sparc)",95500,4.61E-07,none
Laurie Noel (O/A Verona Sports And Variety),95494,4.61E-07,none
Manco Recycling Systems Inc,95466,4.61E-07,none
Mr Linen Laundry Service,95451,4.61E-07,none
Tricia Rudy Enterprises Inc.,95443,4.61E-07,none
Accuristix,95429,4.61E-07,none
Environmental 360 Solutions Ltd,95424,4.61E-07,none
Rajinder Singh,95399,4.61E-07,none
Arodal,95372,4.61E-07,none
David B. Russell,95372,4.61E-07,none
Brinks Canada Limited,95293,4.60E-07,none
The Manitoba Housing And Renewal Corporation,95292,4.60E-07,none
Mirems Ltd,95195,4.60E-07,none
Saunders Men'S Wear Ltd,95167,4.60E-07,none
D Koutsogiannis Medicine Professional Corporation,95100,4.59E-07,none
Brandi L. Neil,95083,4.59E-07,none
Mr. Janitorial Supplies ,94823,4.58E-07,none
Jorge F. Van Schouwen,94668,4.57E-07,none
Qmr Staffing Solutions Incorporated,94626,4.57E-07,none
Jeannine Rousselle,94566,4.57E-07,none
Wsa Hvacr Inc,94563,4.57E-07,none
C Belay Pharmacy Inc,94411,4.56E-07,none
William Sommer,94394,4.56E-07,none
Unified Engineering.Com Corp,94355,4.56E-07,none
Karbren Holdings Limited,94213,4.55E-07,none
David Trick And Associates Inc,94152,4.55E-07,none
Worthington Products Inc.,94089,4.55E-07,none
Akkodis Canada Inc.,94039,4.54E-07,none
Addario Law Group Llp,93912,4.54E-07,none
Wendy Nott Planning & Mediation Inc.,93903,4.54E-07,none
Stantec Inc,93872,4.53E-07,none
Tyler Wentzell Consulting Inc.,93840,4.53E-07,none
Artur Aniol,93756,4.53E-07,none
Maison Funeraire Lessard-Stephens Funeral Home,93727,4.53E-07,none
Reed Exhibitions Ltd,93719,4.53E-07,none
Thunder Bay Multi-Trades Inc,93705,4.53E-07,none
Atlantic Industries Ltd.,93688,4.53E-07,none
Fea Holdings Inc.,93660,4.52E-07,none
Wildroses Landscaping Corp.,93643,4.52E-07,none
Allmar Inc,93628,4.52E-07,none
Crate'S Lake Country Boats Inc,93608,4.52E-07,none
1778704 Ontario Ltd. (O/A Superior Landfill Management Services),93583,4.52E-07,none
Pyke-Hansford Hdw Inc,93516,4.52E-07,none
Bud Wright Hauling And Landscaping,93483,4.52E-07,none
State Of Washington,93477,4.52E-07,none
Waterfarmers Urban Agriculture Innovations Inc.,93441,4.51E-07,none
Firstcanada Ulc,93342,4.51E-07,none
Accurate Phc Inc,93155,4.50E-07,none
Ontario Oil Gas & Salt Resources Corporation,93098,4.50E-07,none
Hill Hunter Losell Law Firm Llp,93077,4.50E-07,none
Bearcom Canada Corp,93034,4.49E-07,none
2630383 Ontario Inc,92993,4.49E-07,none
Sukhpaul Tut (O/A Trillium Law),92944,4.49E-07,none
Flocor Inc.,92943,4.49E-07,none
Legacy Funeral And Cremation Services Inc,92936,4.49E-07,none
Compugen Inc,92808,4.48E-07,none
Antonina Oliinyk,92807,4.48E-07,none
Maccoubrey Funeral Home Ltd,92752,4.48E-07,none
Marketing Leger Inc,92660,4.48E-07,none
Thomson Reuters,92646,4.48E-07,none
Canadian Urban Transit Association (Cuta),92621,4.47E-07,none
Miriam B. Compagnoni,92611,4.47E-07,none
Serenity Burial & Cremation Services Inc,92555,4.47E-07,none
Darta Enterprises Inc.,92540,4.47E-07,none
Dr. Achal Mishra Medicine Professional Corp,92516,4.47E-07,none
S. Denyse Diaz Professional Corp.,92460,4.47E-07,none
Carmen-Daniela Hritcu,92276,4.46E-07,none
Consilium Marine & Safety Canada Incorporated,92274,4.46E-07,none
Barrys Bay Home Hardware Building Centre,92236,4.46E-07,none
Tab Products Of Canada Ltd.,92217,4.45E-07,none
Peter J Berlingieri Professional Corporation,92172,4.45E-07,none
Syntax Transcription Inc,92166,4.45E-07,none
Shopstix Inc. (O/A Avshop.Ca),92052,4.45E-07,none
Fitzpatrick Law Office,92029,4.45E-07,none
Donohoe Mobile Veterinarian,91978,4.44E-07,none
Andre G Lamoureux (O/A Agl Property Management),91946,4.44E-07,none
Juan A. Diaz Sananes,91939,4.44E-07,none
1221807 Ontario Inc (O/A Aquateck),91893,4.44E-07,none
Fresh Start Foods Canada,91881,4.44E-07,none
Sarjeant Company Ltd,91801,4.43E-07,none
Phyllis Torrance,91749,4.43E-07,none
David J. Elliott,91724,4.43E-07,none
Outedge Media Canada Lp ,91681,4.43E-07,none
Feldman Optimal Outcomes Inc,91666,4.43E-07,none
Cognizant Technology Solutions Canada Inc.,91530,4.42E-07,none
1972404 Ontario Inc.,91454,4.42E-07,none
Bonnie Goldberg,91443,4.42E-07,none
Megan J. Pallett,91394,4.41E-07,none
Elizabeth M. Walsh,91319,4.41E-07,none
Empire Sealing & Paving Ltd.,91310,4.41E-07,none
Larco Hospitality Inc.,91298,4.41E-07,none
Les Aliments Matrix Inc,91220,4.41E-07,none
Meeser Forestry Services Limited,91185,4.40E-07,none
Levac Supply Limited,91146,4.40E-07,none
Rogers Communications Canada Inc. Cash Management,91062,4.40E-07,none
Mary Hartley,91030,4.40E-07,none
Venky Rao Expo Consultants Inc,90999,4.40E-07,none
Toronto Home Shows Lp,90965,4.39E-07,none
Samantha Mardlin,90847,4.39E-07,none
Anne F. Calpin,90750,4.38E-07,none
A Supreme Nursing And Home Care Services Inc,90715,4.38E-07,none
Gryphon Engineering Services,90639,4.38E-07,none
Dynamsoft Corporation,90550,4.37E-07,none
Tanya Farkouh Martin Professional Corp.,90542,4.37E-07,none
Earnscliffe Strategy Group Gp,90519,4.37E-07,none
Hts Engineering Ltd,90490,4.37E-07,none
Grayce Daley,90485,4.37E-07,none
Federal Dynamics Corporation,90451,4.37E-07,none
1603933 Ontario Inc. (O/A E. Beryl Macmillan),90422,4.37E-07,none
Kpmg Llp ,90400,4.37E-07,none
Levio Conseils Inc.,90400,4.37E-07,none
Queue-It Inc,90391,4.37E-07,none
Caseware International Inc,90386,4.37E-07,none
"Sabourin, Josee Celine",90368,4.37E-07,none
Nova Networks Inc,90361,4.36E-07,none
Pl Technology Solutions Inc,90327,4.36E-07,none
Dr Ardit Deliallisi Medical Professional Corporation,90300,4.36E-07,none
Toromont Cat,90229,4.36E-07,none
Robert J. Bourgon & Associates Ltd (O/A Bourgon Construction),90154,4.35E-07,none
Fournier Cremation Ltd/Cremation Fournier Ltee,90093,4.35E-07,none
Bluewater Power Distribution Corporation,89903,4.34E-07,none
Helen Kurgatnikov Miller,89866,4.34E-07,none
Augusta Fruit Market Ltd. ,89822,4.34E-07,none
Carib Counselling & Psychotherapy,89804,4.34E-07,none
Rl All Terrain Services Ltd.,89763,4.34E-07,none
Damen Services B V,89705,4.33E-07,none
Anil Joseph Medicine Professional Corporation,89700,4.33E-07,none
Dr Leon Lerm Medicine Professional Corporation,89688,4.33E-07,none
Lexisnexis Inc,89658,4.33E-07,none
Maryana Kravtsenyuk Medicine Professional Corp.,89609,4.33E-07,none
Take Action Nursing Limited,89576,4.33E-07,none
Family Matters Niagara Inc.,89341,4.32E-07,none
Fraser Kelly,89315,4.31E-07,none
Sq Uniformone,89272,4.31E-07,none
North West Industries Inc,89270,4.31E-07,none
Carol Mcnamara,89200,4.31E-07,none
Julie C. Volkmann,89198,4.31E-07,none
"Nitso Holdings Inc, (O/A Five Brothers Hospitality Partnership)",89116,4.30E-07,none
Bmc Pharmacy,89026,4.30E-07,none
Charles R. Rolston,88956,4.30E-07,none
Hamid Khatami,88954,4.30E-07,none
Projects By 91 Inc.,88937,4.30E-07,none
Stuffed Animal House Ltd,88921,4.30E-07,none
Cooksville Interiors Ltd.,88807,4.29E-07,none
Ltl Group,88795,4.29E-07,none
The Canada Life Assurance Company Great West Life Assurance,88682,4.28E-07,none
Allen Skuce Barrister & Solicitor,88632,4.28E-07,none
Maria Isabel Bellon,88592,4.28E-07,none
A & A Services And Marine Contracting Ltd.,88592,4.28E-07,none
Zoltan Deseo,88562,4.28E-07,none
Veteran Cab Company,88528,4.28E-07,none
Attila Darvas,88491,4.27E-07,none
Elissa M. Reimer (O/A Elissa Hines Reimer),88479,4.27E-07,none
Abdollah Zahiri,88425,4.27E-07,none
4Imprint Inc,88376,4.27E-07,none
Leader Manufacturing Inc (Leader Frames),88309,4.27E-07,none
Foreman Rosenblatt & Lewis In Trust,88211,4.26E-07,none
Dr. Brian A. Ballantyne,88200,4.26E-07,none
City Electric Supply Corporation,88174,4.26E-07,none
H Sudan And Company Inc,88140,4.26E-07,none
Claudius Koosees (O/A Claudius And Son'S Equipment Services),88130,4.26E-07,none
Tia S. Mccalla,88082,4.25E-07,none
Williams Hr Law Llp,88028,4.25E-07,none
Biotechnology Innovation Organization (Bio),87961,4.25E-07,none
Sasi Spring Water,87908,4.25E-07,none
Brown Book Company [Bbc] Ltd. ,87853,4.24E-07,none
Mds Aero Support Corporation,87837,4.24E-07,none
Isa Cybersecurity Inc. ,87758,4.24E-07,none
Tim Rainone O/A Rainone Services,87748,4.24E-07,none
Massey Wholesale Ltd,87711,4.24E-07,none
Structura Engineering Inc.,87665,4.23E-07,none
Eliot Roofing Ltd.,87660,4.23E-07,none
Association Of Municipalities Of Ontario,87608,4.23E-07,none
Enbridge ,87559,4.23E-07,none
John Sotirakos,87519,4.23E-07,none
Voltaire Communications Corporation,87441,4.22E-07,none
Dr. Sherri Cox,87337,4.22E-07,none
Creative Currency Inc,87293,4.22E-07,none
Jml Engineering Ltd,87259,4.22E-07,none
Dr Peter Kondra,87230,4.21E-07,none
Jgw Machine Ltd,87203,4.21E-07,none
Jim Nichols Trucking Ltd.,87186,4.21E-07,none
Esit Canada Enterprise Services Co................................... ,87162,4.21E-07,none
Canada Computers,87159,4.21E-07,none
Kutting Edge Inc,87130,4.21E-07,none
Cedar Signs Inc,87121,4.21E-07,none
Rodrigo E. Hernandez,87119,4.21E-07,none
Phenomenex Inc,87087,4.21E-07,none
Sea Synergy Consulting Ltd,87010,4.20E-07,none
Unit Park Management Inc,86995,4.20E-07,none
Gregory J. Barker,86784,4.19E-07,none
Paola Lorenzini,86686,4.19E-07,none
Jason Mcgogy,86665,4.19E-07,none
Wolseley Canada Inc.,86653,4.19E-07,none
Legislative Counsel ,86613,4.18E-07,none
Commissionaires Canada,86335,4.17E-07,none
M.D. Charlton Co. Ltd. O/A Mdc Law Enforcement &,86325,4.17E-07,none
Bohamgaz Inc,86303,4.17E-07,none
Chris Lefebvre,86274,4.17E-07,none
Abigail Choo (O/A Korean Interpretation & Translation Services),86235,4.17E-07,none
Sigma Assessment Systems Ltd,86187,4.16E-07,none
"David Capulli, Anthony Capulli (O/A Capulli Law Llp)",85852,4.15E-07,none
True North Safety Group Incorporated,85775,4.14E-07,none
Expedition Helicopters Inc,85709,4.14E-07,none
Imagewear Canada,85527,4.13E-07,none
Mary Patricia Reilly (O/A Law Office Of T Edgar Reilly),85493,4.13E-07,none
Scott C. Vining Barrister & Solicitor,85363,4.12E-07,none
Planet Labs Geomatics Corp,85349,4.12E-07,none
Linde Canada Inc,85333,4.12E-07,none
"Marriott International, Inc.",85328,4.12E-07,none
Debora D. Charron,85262,4.12E-07,none
2337585 Ontario Inc,85212,4.12E-07,none
Kc Security Services,85123,4.11E-07,none
Capital Therapy Services Inc,85116,4.11E-07,none
Jeannette Gillezeau,85089,4.11E-07,none
Stephen I. Beck,85017,4.11E-07,none
Certified Energy Solutions Inc,85000,4.11E-07,none
Serge Bisson,85000,4.11E-07,none
Safe Software Inc.,85000,4.11E-07,none
Bt/A Advertising Inc,84947,4.10E-07,none
Reva Devins Dispute Resolution Inc,84881,4.10E-07,none
Nella Cutlery & Food Equipment Inc. ,84777,4.10E-07,none
Lock City Dairies Inc,84777,4.10E-07,none
Gawas Farm,84750,4.09E-07,none
Corridor Construction Lp,84750,4.09E-07,none
Made Manifest Inc,84750,4.09E-07,none
Van Osch Innovations Ltd,84735,4.09E-07,none
Riggs Engineering Ltd,84688,4.09E-07,none
Ankush Chander Medicine Professional Corporation,84600,4.09E-07,none
Hexagon,84569,4.09E-07,none
Leco Instruments Ltd,84503,4.08E-07,none
Brad Hominick Productions Ltd,84452,4.08E-07,none
Fitch Solutions Inc,84422,4.08E-07,none
Sinclair Dental Co Ltd,84388,4.08E-07,none
University Of Alberta,84247,4.07E-07,none
"Illumina Canada, Inc.",84222,4.07E-07,none
Taboo,84204,4.07E-07,none
Summertime Holdings Inc,84178,4.07E-07,none
Rona,84130,4.06E-07,none
"Pepsico, Inc.",84086,4.06E-07,none
Lanier Healthcare Canada,84074,4.06E-07,none
Aladtec Inc,84041,4.06E-07,none
Carbon Management Canada Inc.,83882,4.05E-07,none
Dr. J. Prpic Medicine Professional Corporation,83808,4.05E-07,none
Sudbury Regent Street Inc,83763,4.05E-07,none
Bradshaw Consulting Services Inc,83731,4.04E-07,none
Zero 1 Exhibitions Limited,83635,4.04E-07,none
Julie Findlay,83620,4.04E-07,none
Aig Insurance Company Of Canada (O/A Chartis),83606,4.04E-07,none
Bnl Northwestern Enterprises Ltd.,83427,4.03E-07,none
Catherine A. Reid,83354,4.03E-07,none
Vanassa Richards-Thompson,83283,4.02E-07,none
Samir Gerbou,83253,4.02E-07,none
Insurance Bureau Of Canada,83150,4.02E-07,none
Snapstream,83100,4.01E-07,none
Far North Contracting Inc.,83003,4.01E-07,none
Linde,82955,4.01E-07,none
Tompkins Outdoors,82947,4.01E-07,none
Eastlink,82902,4.00E-07,none
Laura M. White Professional Corp.,82829,4.00E-07,none
Great Lakes Forest Fire Compact,82806,4.00E-07,none
Sivanandachelvan Thillainathan,82713,4.00E-07,none
966021 Ontario Ltd,82707,4.00E-07,none
Lexisnexis Canada Inc,82534,3.99E-07,none
Mckeil Marine Ltd,82533,3.99E-07,none
Arco Inc. Group Ltd.,82425,3.98E-07,none
Dalex Canada Inc,82403,3.98E-07,none
Tidal Sw Inc. (O/A Tidal Migrations),82377,3.98E-07,none
Dhi Water & Environment,82348,3.98E-07,none
Lucy Aita,82321,3.98E-07,none
Angela Jeffrey,82264,3.97E-07,none
Boudreau-Espley-Pitre Corporation (O/A Bestech),82223,3.97E-07,none
"Robert Mcmullan, Michelangelo Mule (O/A M & M Fit Testing)",82108,3.97E-07,none
Perron Law Firm Professional Corp.,82058,3.96E-07,none
Dufferin Veterinary Services Professional Corporation,81933,3.96E-07,none
Natural Resources Canada,81925,3.96E-07,none
Stephen F Murray,81923,3.96E-07,none
Universal Interpreter Services Of Peel,81917,3.96E-07,none
Kinisi Moving Corp,81826,3.95E-07,none
Dr. Julian Gojer Medicine Professional Corp.,81784,3.95E-07,none
Ian D. Scott,81679,3.95E-07,none
Simcoe Funeral Home Inc,81672,3.95E-07,none
Feldcamp Equipment Limited,81575,3.94E-07,none
School Boards' Co-Operative Inc (Sbci),81506,3.94E-07,none
Glenn Ambrose,81435,3.93E-07,none
Terra Nova Now Trans,81427,3.93E-07,none
Patricia L. Meehan,81413,3.93E-07,none
Walden Animal Hospital,81401,3.93E-07,none
Nancy L. Macdonald,81360,3.93E-07,none
Christine Serbina Knight,81271,3.93E-07,none
Biodetection Systems B.V.,81270,3.93E-07,none
William Day Construction Ltd,81265,3.93E-07,none
In Twin City Mechanic,81258,3.93E-07,none
Tirizia Jajou,81211,3.92E-07,none
Luborsky Adr Services Inc,81157,3.92E-07,none
1425445 Ontario Limited (O/A Utilities Kingston),81084,3.92E-07,none
Elite Digital Inc.,81031,3.91E-07,none
Ic Controls Ltd./Ltee,81009,3.91E-07,none
