vendor,total_paid,share_of_total,concentration_flag
Scargall Owen-King Llp,47649146,0.000230172,none
Steeves & Rozema Enterprises Limited,47588706,0.000229881,none
Alliance Verdi Civil Inc,47292862,0.000228451,none
St Joseph'S Continuing Care Centre Of Sudbury,47075004,0.000227399,none
Stratford General Hospital,46933048,0.000226713,none
Renfrew Victoria Hospital,46902512,0.000226566,none
Ontario Aboriginal Housing Support Services Corporation ,46864241,0.000226381,none
Canadian Mental Health Association Thames Valley Addictions & Mental Health Services,46797463,0.000226058,none
Rankin Construction Inc,46707835,0.000225625,none
Egis Canada Ltd (O/A Ara Engineering),46415768,0.000224215,none
City Of London,45878836,0.000221621,none
Kiewit-Dufferin Midtown Partnership,45436379,0.000219484,none
South East Local Health Integration Network,45128303,0.000217995,none
Nipissing University,45053286,0.000217633,none
Child And Family Services Of Grand Erie,44901379,0.000216899,none
Collège Boréal D'Arts Appliqués Et De Technologie,44832002,0.000216564,none
Merck Canada Inc,44802070,0.000216419,none
Canadian Mental Health Association Waterloo Wellington Branch,44718775,0.000216017,none
Central West Specialized Developmental Services,44663092,0.000215748,none
Pfizer Canada Ulc,44500286,0.000214962,none
Homewood Health Centre Inc,44417921,0.000214564,none
Blanche River Health,43239638,0.000208872,none
Pathways To Independence,43133117,0.000208357,none
City Of Windsor,42735296,0.000206436,none
Temiskaming Hospital,42641204,0.000205981,none
Axium Extendicare Ltc Lp,42477800,0.000205192,none
Cvh (No.9) Gp Inc/Southbridge Care Homes/Southbridge Healthcare Lp,42408988,0.00020486,none
St Josephs General Hospital,42346757,0.000204559,none
Association Of Ontario Midwives,42331220,0.000204484,none
College Boreal D'Arts Appliques Et De Technologie,42197522,0.000203838,none
Canada Post Corporation,42110036,0.000203415,none
Community Living Essex County,41777407,0.000201809,none
Empower Simcoe Services,41526080,0.000200595,none
South-East Ottawa Community Services,41477901,0.000200362,none
Religious Hospitallers Of St Joseph Of The Hotel Dieu Of St Catharines,40466367,0.000195476,none
Manitoulin-Sudbury District Services Board,40226926,0.000194319,none
County Of Lanark,40081042,0.000193614,none
General Motors Of Canada Ltd,40044163,0.000193436,none
Grand River Community Health Centre,39990126,0.000193175,none
City Of Stratford,39963260,0.000193045,none
Winchester District Memorial Hospital,39791224,0.000192214,none
Villa Colombo Homes For The Aged,39733981,0.000191938,none
Stevenson Memorial Hospital,39614167,0.000191359,none
R W Tomlinson Ltd,39517930,0.000190894,none
Lennox And Addington County General Hospital,39018958,0.000188484,none
Valoris For Children And Adults Of Prescott-Russell Valoris Pour Enfants Et Adultes De Prescott-Russell,39001990,0.000188402,none
Haliburton Highlands Health Services Corporation,38839640,0.000187618,none
Bethesda Community Services Inc,38641465,0.00018666,none
Union Of Ontario Indians,38498280,0.000185969,none
Praxair Canada Inc.,38448048,0.000185726,none
Office Des Telecommunications Educatives De Langue Francaise De L'Ontario (Otelfo/Ofleca),38280805,0.000184918,none
Code-Ontario Education Projects,38263404,0.000184834,none
C Villeneuve Construction Co Ltd,38234967,0.000184697,none
Lh North Ltd,38188067,0.00018447,none
Yor-Sup-Net Support Service Network,38171414,0.00018439,none
North Simcoe Muskoka Local Health Integration Network,37832603,0.000182753,none
Bot Construction (Ontario) Ltd,37532201,0.000181302,none
Ledcor Highways Ltd,37423184,0.000180775,none
Oracle Canada Ulc,37401819,0.000180672,none
Tillsonburg District Memorial Hospital,37121434,0.000179318,none
Vita Community Living Services Of Toronto Inc,37050638,0.000178976,none
Highland Shores Children'S Aid Society,37028256,0.000178868,none
County Of Simcoe,37026889,0.000178861,none
Participation House Support Services - London And Area,36851124,0.000178012,none
Ableliving Services Inc,36726569,0.00017741,none
Canadian Mental Health Association Toronto Branch,36594619,0.000176773,none
County Of Elgin,36455009,0.000176098,none
Glen Hill Terrace Christian Homes Inc,36330205,0.000175496,none
Kingston Community Health Centres (Kchc),36220911,0.000174968,none
F J Davey Home,36202788,0.00017488,none
Arnprior Regional Health,36175600,0.000174749,none
Community Living Windsor,36013389,0.000173965,none
Ontario Creates,35887430,0.000173357,none
Groves Memorial Community Hospital,35883129,0.000173336,none
Jarlette Ltd,35763009,0.000172756,none
Rogers Communications Canada Inc,35746901,0.000172678,none
Brampton-Caledon Community Living,35494827,0.00017146,none
